aX,aY,aZ,gX,gY,gZ
2821.04,-6092.32,6273.69,11.00,-21.00,-36.00
2821.04,-6354.78,6104.62,-35.00,-19.00, 9.00
2825.89,-6373.27,5831.57,-36.00, 2.00,12.00
2845.73,-6425.96,5440.94, 5.00,71.00,-66.00
2845.73,-6425.96,5206.96,-45.00,119.00,-30.00
2832.44,-6425.96,4953.38,-69.00,121.00,-6.00
2825.89,-6373.27,4953.38,-114.00,111.00,34.00
2821.04,-6355.18,4953.38,-167.00,39.00,89.00
2813.82,-6354.78,4953.38,-227.00,-22.00,89.00
2722.66,-6206.71,4953.38,-223.00,23.00,146.00
2610.67,-6083.62,5045.41,-180.00,180.00,302.00
2602.80,-5942.97,5367.65,-179.00,191.00,462.00
2512.88,-5942.97,5870.19,-248.00,17.00,577.00
2486.53,-5942.97,6424.11,-223.00,19.00,670.00
2475.12,-5942.97,6879.27,-191.00,284.00,942.00
2470.80,-5905.44,7369.16,-466.00,157.00,1190.00
2026.88,-5786.40,8115.90,-797.00,77.00,1380.00
1624.93,-5786.40,8115.90,-1337.00,-456.00,1061.00
1401.76,-5786.40,8115.90,-1797.00,-784.00,1045.00
769.05,-5085.27,8115.90,-2042.00,-906.00,804.00
625.92,-5085.27,8115.90,-1941.00,-675.00,865.00
625.92,-5085.27,8081.81,-1463.00,-195.00,448.00
625.92,-5085.27,7592.68,-1024.00,380.00,400.00
-1.28,-5085.27,7077.76,-876.00,-237.00,992.00
-1.28,-5605.55,6894.01,-843.00,-375.00,1145.00
181.23,-5857.44,6831.61,-982.00,-199.00,508.00
625.92,-5857.44,6565.86,-1162.00,265.00,-462.00
1032.53,-5922.52,5014.71,-1130.00,1027.00,-1529.00
1079.94,-6403.74,3784.83,-978.00,2118.00,-1749.00
1079.94,-6855.91,2718.50,-492.00,2279.00,-619.00
1032.53,-6855.91,1967.10,-513.00,101.00,670.00
276.35,-6855.91,1692.96,-574.00,-2020.00,1915.00
1079.94,-6855.91,1640.26,-316.00,-2445.00,1196.00
2189.56,-7024.93,-9.03,-100.00,-986.00,-728.00
2305.36,-7197.55,-2431.02,-231.00,191.00,-1878.00
2609.92,-7856.96,-4135.33,-181.00,-152.00,-684.00
2609.92,-9274.57,-4206.89,-114.00,116.00,-59.00
3597.86,-9853.06,-4281.81,-101.00,135.00,-49.00
3597.86,-9853.06,-4500.80,16.00,-281.00,-125.00
3805.15,-9853.06,-4500.80,165.00,80.00,-727.00
3805.15,-9853.06,-4500.80,-23.00,-207.00,-792.00
3805.15,-9853.06,-4206.89,618.00,-120.00,-563.00
3597.86,-9671.84,-4135.33,562.00,45.00,-532.00
3449.91,-9385.10,-4129.32,806.00,-34.00,-176.00
3317.49,-9033.06,-3870.79,851.00,169.00,-350.00
2812.09,-8597.04,-3234.08,990.00,242.00,-260.00
2679.26,-7771.96,-2731.65,1147.00,560.00,-118.00
2679.26,-7771.96,-2071.39,1430.00,983.00,-302.00
2507.04,-7771.96,-1182.83,1841.00,1007.00,-291.00
2490.53,-7771.96,-380.10,2144.00,1108.00,-486.00
2382.67,-7757.02,419.14,1806.00,689.00,-377.00
2267.55,-7750.57,1215.88,1492.00,74.00,56.00
2237.12,-7750.57,1987.93,1303.00,386.00,-377.00
2209.43,-7750.57,2471.57,1476.00,-220.00,119.00
1352.08,-7731.98,2601.96,1083.00,-583.00,370.00
1078.46,-7389.91,2684.94,888.00,-1082.00,1061.00
673.47,-6781.55,3631.37,437.00,-949.00,933.00
673.47,-6642.52,4718.42,239.00,-55.00,-13.00
673.47,-6609.54,5600.25,11.00,-97.00,-294.00
177.55,-5393.33,5964.15,-181.00,-619.00,-714.00
177.55,-3803.28,6556.89,-287.00,-798.00,-675.00
177.55,-3803.28,7381.33,-173.00,-470.00,-418.00
440.53,-3803.28,7676.40,-74.00,-452.00,-272.00
744.76,-3803.28,7703.44,61.00,-325.00,-8.00
971.26,-3803.28,7703.44,211.00,-189.00,-81.00
1016.72,-4746.77,7703.44,263.00,155.00,-206.00
1214.03,-5504.86,7703.44,285.00,105.00,-341.00
1549.22,-6420.52,7703.44,119.00,-57.00,98.00
2177.13,-6420.52,7593.53,88.00,-71.00,77.00
2708.41,-6420.52,7244.52,69.00,-41.00,65.00
2766.64,-6420.52,6638.31,45.00,17.00,34.00
2831.99,-6420.52,5740.59,58.00,-24.00,58.00
2864.68,-6369.08,5196.35,128.00,-36.00,11.00
2958.79,-6340.79,5020.67,117.00,-55.00,33.00
3002.93,-6339.80,5020.67,123.00,-178.00,110.00
3011.30,-6308.25,5020.67,95.00,-217.00,91.00
3030.88,-6259.67,5020.67,71.00,177.00,201.00
3070.96,-6209.00,5020.67,16.00,452.00,152.00
3070.96,-6159.35,5221.60,-45.00,374.00,334.00
3070.96,-6062.01,5567.36,-59.00,176.00,557.00
3070.96,-6062.01,6072.42,-42.00,268.00,530.00
3011.30,-6062.01,6313.85,-48.00,562.00,471.00
2935.00,-6008.97,6475.11,-34.00,535.00,507.00
2616.20,-5980.41,6788.27,-74.00,309.00,815.00
2596.95,-5955.79,7317.76,-196.00,106.00,1040.00
2588.92,-5872.24,7620.96,-487.00,-59.00,1214.00
2188.57,-5850.95,7620.96,-867.00,-151.00,1045.00
1609.14,-5560.28,7620.96,-1304.00,-410.00,826.00
981.49,-4852.57,7620.96,-1463.00,-440.00,706.00
941.78,-4321.43,7620.96,-1447.00,-237.00,519.00
941.78,-4321.43,7358.18,-1234.00,297.00,155.00
941.78,-4321.43,6931.31,-1021.00,111.00,32.00
941.78,-4321.43,6775.98,-864.00,-121.00,222.00
941.78,-4321.43,6573.19,-789.00,282.00,-149.00
941.78,-5397.26,6307.51,-774.00,619.00,-41.00
941.78,-5917.80,5532.11,-814.00,708.00,662.00
941.78,-5917.80,5168.87,-1163.00,-23.00,1109.00
941.78,-5917.80,4985.32,-1367.00,-861.00,969.00
944.56,-6295.96,4592.79,-1313.00,-912.00,516.00
944.56,-6466.33,3499.27,-1095.00,-537.00,-835.00
1001.54,-6828.54,1020.76,-894.00,416.00,-1206.00
1326.12,-6828.54,-812.88,-816.00,48.00,-518.00
753.73,-7501.11,-931.94,-864.00,-1294.00,858.00
1550.21,-8851.07,-1020.14,-947.00,-2084.00,1608.00
1589.41,-8895.44,-1467.56,-677.00,-1916.00,1381.00
1609.44,-9201.86,-2400.93,-287.00,-116.00,-573.00
3084.35,-9781.79,-3191.58,109.00,567.00,-1301.00
3111.25,-10071.27,-3191.58,283.00,565.00,-1374.00
3084.35,-10230.32,-3356.01,194.00,69.00,-617.00
2500.60,-10071.27,-3356.01,312.00,-411.00,342.00
2500.60,-10071.27,-3356.01,476.00,-558.00,148.00
2751.09,-10071.27,-3248.01,990.00,374.00,-459.00
2751.09,-10071.27,-3191.58,1231.00,502.00,-907.00
2652.25,-9147.64,-3083.35,1375.00,162.00,-739.00
2500.60,-9108.51,-2770.00,1186.00,-40.00,-507.00
1846.95,-8874.19,-1441.60,1242.00,47.00,81.00
1846.95,-8749.51,-798.96,1603.00,260.00,-244.00
1846.95,-8534.40,-532.58,1851.00,408.00,-526.00
2396.30,-8510.98,-373.15,1939.00,474.00,-659.00
2453.97,-8372.01,131.71,1832.00,506.00,-546.00
2396.30,-8087.34,1014.23,1695.00,796.00,-361.00
2169.58,-7940.90,1952.94,1436.00,1148.00,-470.00
2169.58,-7925.04,2507.76,1152.00,1413.00,-570.00
2169.58,-6816.23,2798.66,773.00,841.00,-616.00
2169.58,-6098.54,3699.59,556.00,273.00,-420.00
1688.95,-5558.72,4891.76,537.00,-198.00,-219.00
1161.37,-5092.03,5930.65,611.00,-181.00,-203.00
257.22,-4542.02,6500.79,697.00,-168.00,-136.00
257.22,-4353.61,6978.88,654.00,-286.00,-308.00
257.22,-4276.97,7499.73,563.00,-88.00,-302.00
257.22,-4175.53,7665.28,322.00,24.00,-376.00
257.22,-4175.53,7665.28,51.00,-313.00,-64.00
458.93,-4175.53,7665.28,10.00,-458.00,184.00
475.03,-4175.53,7665.28,43.00,-212.00,45.00
814.21,-4175.53,7665.28,181.00,-98.00,-70.00
825.36,-4498.52,7369.97,48.00,-71.00, 4.00
997.02,-5165.51,7175.18,26.00,-107.00,-11.00
1583.21,-5884.11,7077.51,30.00,-71.00,-16.00
2040.33,-6089.29,6839.71,34.00,-28.00,-60.00
2298.20,-6100.77,6160.62,42.00,-19.00,-20.00
2440.92,-6164.86,5671.97,76.00,-22.00, 0.00
2556.55,-6186.52,5422.38,90.00,-13.00,-14.00
2556.55,-6186.52,5321.43,100.00,-18.00,-3.00
2556.55,-6164.86,5204.86,22.00,-98.00,15.00
2556.55,-6100.77,5180.87,19.00,-72.00,-31.00
2628.81,-6100.77,5166.12, 0.00,22.00,-109.00
2628.81,-6088.98,5128.24,-29.00,36.00,-18.00
2575.29,-5981.71,5128.24,-27.00,-30.00,118.00
2575.29,-5960.94,5128.24,-101.00,-21.00,129.00
2575.29,-5960.23,5128.24,-186.00,88.00,144.00
2575.29,-5942.19,5128.24,-221.00,86.00,207.00
2624.29,-5842.96,5246.94,-272.00,-31.00,347.00
2628.81,-5592.98,5522.97,-359.00,-2.00,385.00
2674.98,-5304.59,5873.38,-523.00,212.00,365.00
2682.46,-5104.35,6264.03,-699.00,298.00,311.00
2682.46,-5035.41,6808.42,-792.00,176.00,551.00
2682.46,-4776.45,7454.25,-793.00,177.00,866.00
2674.98,-4660.69,7875.35,-798.00,130.00,1038.00
2624.29,-4558.41,8024.81,-803.00,300.00,1083.00
2288.56,-4397.15,8024.81,-1141.00,-69.00,1078.00
1878.34,-4387.87,8024.81,-1415.00,-420.00,1145.00
1629.00,-4193.05,8024.81,-1564.00,-509.00,981.00
1462.20,-4193.05,8024.81,-1558.00,-608.00,843.00
953.59,-4397.15,7939.01,-1266.00,-220.00,938.00
953.59,-4558.41,7567.41,-878.00,560.00,594.00
767.32,-4558.41,7445.09,-713.00,482.00,388.00
